Document_ID,Text
1,budget to set scene for election gordon brown will seek to put the economy at the centre of labours bid for a third term in power when he delivers his ninth budget at 1230 gmt he is expected to stress the importance of continued economic stability with low unemployment and interest rates the chancellor is expected to freeze petrol duty and raise the stamp duty threshold from 60000 but the conservatives and lib dems insist voters face higher taxes and more meanstesting under labour treasury officials have said there will not be a preelection giveaway but mr brown is thought to have about 2bn to spare increase in the stamp duty threshold from 60000 a freeze on petrol duty an extension of tax credit scheme for poorer families possible help for pensioners the stamp duty threshold rise is intended to help first time buyers a likely theme of all three of the main parties general election manifestos ten years ago buyers had a much greater chance of avoiding stamp duty with close to half a million properties in england and wales alone selling for less than 60000 since then average uk property prices have more than doubled while the starting threshold for stamp duty has not increased tax credits as a result the number of properties incurring stamp duty has rocketed as has the governments tax take the liberal democrats unveiled their own proposals to raise the stamp duty threshold to 150000 in february the tories are also thought likely to propose increased thresholds with shadow chancellor oliver letwin branding stamp duty a classic labour stealth tax the tories say whatever the chancellor gives away will be clawed back in higher taxes if labour is returned to power shadow treasury chief secretary george osborne said everyone who looks at the british economy at the moment says there has been a sharp deterioration in the public finances that there is a black hole he said if labour is elected there will be a very substantial tax increase in the budget after the election of the order of around 10bn but mr browns former advisor ed balls now a parliamentary hopeful said an examination of tory plans for the economy showed there would be a 35bn difference in investment by the end of the next parliament between the two main parties he added i dont accept there is any need for any changes to the plans we have set out to meet our spending commitments for the lib dems david laws said the chancellor will no doubt tell us today how wonderfully the economy is doing he said but a lot of that is built on an increase in personal and consumer debt over the last few years that makes the economy quite vulnerable potentially if interest rates ever do have to go up in a significant way snp leader alex salmond said his party would introduce a 2000 grant for first time buyers reduce corporation tax and introduce a citizens pension free from means testing plaid cymrus economics spokesman adam price said he wanted help to get people on the housing ladder and an increase in the minimum wage to 560 an hour
2,army chiefs in regiments decision military chiefs are expected to meet to make a final decision on the future of scotlands army regiments a committee of the army board which is made up of the most senior defence figures will discuss plans for restructuring regiments on monday the proposals include cutting scotlands six singlebattalion regiments to five and merging these into a super regiment the plans have faced stiff opposition from campaigners and politicians alike the committees decision must be ratified by defence secretary geoff hoon and prime minister tony blair it is expected that it will be made public next week when ministers announced a reorganisation of the army it drew a question mark over the futures of the black watch the kings own scottish borderers the royal scots the royal highland fusiliers and the argyll and sutherland highlanders in october the council of scottish colonels proposed the merger of the royal scots and the kings own scottish borderers into a single battalion under their vision it would be one of five in the new super regiment the proposals to either merge or amalgamate the six regiments into a super regiment sparked a political outcry with labour backbenchers and opposition politicians opposing the plan they felt the timing was insensitive because the black watch was in the frontline in iraq suffering casualties the save the scottish regiments campaigners were so angered they threatened to stand against labour at the next general election speaking ahead of the expected army board meeting a spokesman said the government and the army board have spent the past four months attempting to trick serving soldiers and the public into thinking their planned changes for the scottish regiments are for the good of the army and for that of the serving soldier they are very much not for the good and will destroy scotlands regiments by moulding them into a single super regiment which will lead to severe recruitment problems a loss of local connections to those regiments and a loss to scotland of an important part of her heritage and most importantly her future the regiments are the envy of armies around the world an alternative blueprint had been put forward by labour mp eric joyce who proposed going ahead with the merger while preserving the other regiments for a brief time there was speculation the prime minister might consider the plan but that now seems unlikely speaking in scotland last week mr blair said the aim was to preserve tradition but introduce a more effective structure and hinted that a super regiment was likely he said they dont want to get rid of the history or the traditions of the regiment or the local connections far from it all they want to do is make sure they can transfer people easily across regiments and deploy them more flexibly the prime minister said he hoped campaigners concerns would be taken into account but the need for effective change had to be paramount
3,howard denies split over id cards michael howard has denied his shadow cabinet was split over its decision to back controversial labour plans to introduce id cards the tory leader said his front bench team had reached a collective view after holding a good discussion but admitted it was not an easy issue he had decided to support the plans as the police said they would help fight terror crime and illegal immigration the lib dems have pledged to oppose the bill when it is debated next monday tory sources say senior party figures had argued vociferously against the id card scheme among those reported to have serious reservations over the strategy were senior shadow cabinet members david davis oliver letwin and tim yeo but mr howard denied mr yeo his transport and environment spokesman said the plans stink he also said he was confident shadow home secretary mr davis would set out the position very clearly when he stands up to debate the matter next week mr howard said the police had said id cards could help them foil a terror bomb plot in which people could lose their lives he added when the police say that you have to take them seriously he acknowledged there were good libertarian arguments against the cards but said the shadow cabinet had weighed up all the conflicting interests before reaching its decision i dont pretend that it is an easy decision but at the end of the day a decision has to be taken he also denied he was afraid of looking soft on the issue compared to labour the conservatives announced their support for the government plans on monday evening sources within the party told the bbc mr howard had always been in favour of id cards and tried to introduce them when he was home secretary but the tories insisted they would hold ministers to account over the precise purpose of the scheme they said they would also press labour over whether objectives could be met and whether the home office would be able to deliver them and they pledged to assess the cost effectiveness of id cards and whether peoples privacy would be properly protected it is important to remember that this bill will take a decade to come into full effect a spokesman said lib dem home affairs spokesman mark oaten has branded the id scheme a waste of money and deeply flawed he said this has all the signs of michael howard overruling colleagues concerns over id cards the chairman of the bar council guy mansfield qc warned there was a real risk that people on the margins of society would be driven into the hands of extremists what is going to happen to young asian men when there has been a bomb gone off somewhere they are going to be stopped if they havent id cards they are going to be detained tory exminister douglas hogg said he opposed the plans for id cards branding them a regressive step which would intrude into the lives of ordinary citizens without any counterbalancing benefits he predicted ultimately carrying the cards would become compulsory and that would lead to large numbers of britains ethnic minorities being stopped by police
4,observers to monitor uk election ministers will invite international observers to check the forthcoming uk general election is fairly run the move comes amid claims the poll could be marred by electoral fraud a report by two mps committees called on thursday for urgent changes to the electoral registration system to combat vote rigging and boost turnout but in a written response to labour mp gordon prentice the government said it would normally invite observers to any uk election junior constitutional affairs minister christopher leslie said i fully expect us to repeat our previous practice of doing so once the date for the next general election is announced the government has looked at ways of boosting voter turnout which fell to 59 in the last general election in 2001 but trial allpostal ballots in four english regions last summer were hit by delays and some fraud allegations liberal democrat peer lord greaves called last week for international observers at the general election saying otherwise there could be months of court challenges on a scale not seen since the 19th century thursdays report was drawn up by two committees scrutinising the work of the office of the deputy prime minister odpm and the department for constitutional affairs dca it said that with the growth of postal voting there was a strong case to tighten up fraud protection by requiring voters to register individually rather than by household it also said about three million people eligible to vote are not registered to do so figures for the 2001 general election suggest 29 of people aged between 18 and 24 and 19 of black voters were not on the electoral roll young people in shared accommodation are thought to miss out because no one acts as head of the household to fill in the form odpm committee chairman andrew bennett said individual voter registration as opposed to registration by household should be quickly introduced as it could dramatically reduce the chances of fraud but his counterpart on the dca committee alan beith said it should be delayed until measures likely to increase registration have been put in place and proved effective shadow constitutional affairs secretary oliver heald accused the government of dragging its feet over this badly needed measure it is vital that we move ahead with the northern ireland system of individual electoral registration to safeguard the integrity of the britains electoral system he said the report said individual registration should be treated carefully as 12 of voters disappeared from the electoral roll in northern ireland when it was introduced in 2002 the report said the government should consider fines for unregistered voters but accepted many experts said it would be an expensive system that would be hard to enforce it said incentives to register such as 20 council tax rebate were likely to be seen as gimmicks and risked undermining the integrity of the system mps said instead they called for imaginative campaigns to boost interest
5,kilroy names election seat target exchat show host robert kilroysilk is to contest the derbyshire seat of erewash at the next general election labours elizabeth blackman won the seat in 1997 and has a 6932 majority she says she will fight on her record as a hardworking constituency mp mr kilroysilk announced his plans a day after launching his new party veritas the latin for truth the east midlands mep who quit the uk independence party wants his new group to change the face of uk politics his choice of election constituency quashes speculation that he would stand against defence secretary geoff hoon in ashfield nottinghamshire ukip won 31 of the vote in erewash in last junes european elections with mr kilroysilk among their candidates for the region until 1997 erewash had been held by the tories since 1970 ms blackman said she was proud of the governments achievements in the area she declined to give her view of mr kilroysilk at this point on thursday he told a london news conference that veritas would avoid the old parties lies and spin he said our country was being stolen from us by mass immigration and promised a firm but fair policy on immigration veritas says it hopes to contest most seats at the forthcoming general election but plans to announce detailed policies on crime tax pensions health and defence over the next few weeks ukip leader roger knapman says he is glad to see the back of mr kilroysilk labour campaign spokesman fraser kemp said veritas was joining an already crowded field on the right of british politics mr kilroysilk was joined in the new venture by one of ukips two london assembly members damien hockney who is now veritas deputy leader ukips chairman petrina holdsworth has said the group will just be a parody of the party the men have left mr kilroysilk quit ukip last week after months of tension as he vied unsuccessfully for the leadership of that party he said he was ashamed to be a member of a ukip whose leadership had gone awol after the great opportunity offered by its third place at last junes european elections ukips leader roger knapman has said he is glad to see the back of mr kilroysilk he has remarkable ability to influence people but sadly after the european election it became clear that he was more interested in the robert kilroysilk party than the uk independence party so it was nice knowing him now goodbye he said ukip officials also argue mr kilroysilk has not been straightforward in attacking the party he once wanted to lead
6,donor attacks blairbrown feud the reported feud between tony blair and gordon brown has prompted a labour donor to say he will almost certainly refuse to give more funds duncan bannatyne also attacked the government over iraq and its poor response to the asian tsunami crisis his broadside came as exforeign secretary robin cook said he hoped mr brown would be premier at some point mr bannatyne has previously given labour 50000 he made his fortune from care homes and health clubs the 52yearold on tuesday said was he was reviewing his donations because of cabinet disunity and international issues his spokesman said it was highly unlikely he would give labour more money although he would remain a supporter and not fund the conservatives robert pestons new book has prompted more speculation about the blairbrown rift with its claims that the prime minister broke a promise made in 2003 to stand down mr bannatyne said disunity in the cabinet has a corrosive effect on the country gordon brown is a great chancellor who has delivered a stable economy but business wants that to continue and not be blown off course by petty squabbles based on personal ambition the businessman whose latest venture is a casino in newcastle also voiced concern about the ongoing violence in iraq and he branded the uk governments response to the tsunami as piecemeal and poor the people there need practical help not just pledges of money he said the us has forces helping on the ground we can do more british navy ships have helped the relief effort and the prime minister has said the government could ultimately give hundreds of millions of pounds in aid mr bannatyne is due to host a new television programme and is also appearing on bbc2 business startup programme dragons den but his spokesman insisted his attack on labour was not a publicity stunt in a separate development robin cook gave his support to mr browns prime ministerial ambitions but told a lunch for political journalists winning the election had to be labours election but he insisted the recent squabbles between mr blair and mr brown were not perceived as a problem by the voters adding there was no impression of governmental incompetence mr cook argued that more prominence was given to these matters because there was not an alternative source of opposition to the government he warned the abstentions party was the real challenge to labour and they would not be motivated by mr blairs promise to produce an unremittingly new labour election manifesto his comments come after dave prentis the leader of britains biggest union unison told the daily record newspaper he wants a date to be set for mr blair to be replaced as labour leader
7,research fears over kellys views scientists have expressed concerns that new education secretary ruth kellys religious views could hamper vital scientific research ms kelly who is catholic is reported to be prolife and has opposed embryo research medical research council professor nancy rothwell said ms kellys views mattered as she was responsible for training future scientists the department for education and skills would not comment on the concerns a spokeswoman said it is not news that ms kelly is a catholic but we are not going into any details on this but she added that claims ms kelly was in charge of a 1bn university research budget were not true it was down to the higher education funding council and the research councils to decide on universities research allocations british law is open to the cloning of human embryos to create stem cells master cells that can develop into all the bodys tissue types this cloning activity is not permitted for reproductive purposes only for research into new disease treatments however it is controversial because it involves the destruction of embryos professor rothwell who is also vicepresident of research at manchester university told the times higher education supplement it would worry her a great deal if ministers were antistem cell she said the views of ministers in the dfes do matter as they are responsible for training the next generation of scientists you cant have a higher education policy that is at odds with the governments science policy head of developmental genetics at the national institute of medical research professor robin lovellbadge said he had witnessed the confused situation in the us where many religious groups opposed the practice he said if someone as senior as ruth kelly is not going to favour stem cell research we will end up with a similarly schizophrenic system in this country it is very worrying but fertility expert lord winston said he thought it was rather good ministers held ethical views concerns have also been raised by prochoice organisations that ms kellys views might affect sex education policy in schools family planning association chief executive anne weyman said teaching pupils about contraception and abortion were key young people must be informed about all the issues within sexual health which include contraception and abortion i think it is very important that the government maintains its commitment to the teenage pregnancy strategy currently individual schools devise their own sex education policies based on a framework provided by the dfes ms kelly has not set out her detailed views on either issue yet but has said she intends to put parents first in education policy this would include the quality of teaching classroom discipline and academic standards in schools she said
8,chancellor rallies labour voters gordon brown has issued a rallying cry telling supporters the stakes are too high to stay at home or protest vote in the forthcoming general election the chancellor said the vote expected to fall on 5 may will give a clear and fundamental choice between labour investment and conservative cuts speaking at labours spring conference in gateshead mr brown claimed the nhs was not safe in conservative hands he said tory plans to cut 35bn tax would cut deep into public service to a packed audience at gatesheads sage centre the chancellor said the cuts proposed by shadow chancellor oliver letwin were the equivalent of sacking every teacher gp and nurse in the country he told activists laying into the conservatives record in government he said i give you this promise with labour britain will never return to the mistakes of erm and 10 inflation 15 interest rates 3bn in lost reserves 250000 repossessed one million in negative equity and three million unemployed never again tory boom and bust this will be the central dividing line at the election between a conservative party taking britain back and planning deep cuts of 35bn in our services and a labour government taking britain forward which on a platform of stability will reform and renew our hospitals schools and public services and i am proud to say spend by 2008 60bn more turning to the economy the chancellor pledged to continue economic stability and growth in a third term in power he said after seven years labour had transformed from a party not trusted with the economy to the only party trusted with the economy it was now a party not just of employees but of employers and managers he said in the speech which prompted a standing ovation from an audience clearly warm to mr brown he also promised to end teenage unemployment within the next five years he also highlighted plans for 100 debt relief for the worlds poorest countries a national minimum wage for 16 and 17yearolds and the creation of a network of childrens centres and flexibility in maternity leave the prime minister is to take part later on saturday in an interactive question and answer session fielding queries sent in by email text message and telephone as part of labours attempt to engage the public in their campaign
9,tories unveil quango blitz plans plans to abolish 162 quangos have been unveiled by the conservatives as part of their effort to show how government red tape can be cut six government units would also be scrapped under proposals which the tories say would save more than 43bn among the targets are strategic health authorities and the new fair access regulator for universities tory frontbencher john redwood said britain needed a slimmer government and lower taxes to be competitive the plans would abolish regional assemblies and other regional bodies such as boards tackling industrial development and housing their powers would be returned to elected local councils or national government the tories say the strategic health authorities are not needed as it is better that local people rather than officials run hospitals and surgeries announcing the plans mr redwood said mr blair has forgotten the interests of taxpayers and has broken the pledges he made far from improving public services spending taxpayers money on quangos has led only to more bureaucrats more regulation and higher taxes his party leader michael howard argued a change in direction was needed to get a grip on spending labour are creating two britains the britain of the forgotten majority and bureaucratic britain he said in the real world people are working harder just to stand still theyve seen their pensions knocked for six theyre being squeezed by extra taxes the forgotten majority are paying the price of bureaucratic britain the government has announced plans to cut 100000 civil servants as part of its efficiency drive but chief secretary to the treasury paul boateng attacked the tory plans the conservatives are committed to cutting labours public spending plans by a massive 35 billion he said cuts on this scale cannot be found from cutting bureaucracy but would require massive cuts to frontline public services such as schools hospitals and the police the liberal democrats have said they would cut the number of whitehall departments to make sure money reaches frontline services
10,hatfield executives go on trial engineering firm balfour beatty and five railway managers are to go on trial for manslaughter over the hatfield rail crash in 2000 four people died when a section of rail broke and a high speed train derailed balfour beattys railway maintenance arm was in charge of the upkeep of the line at hatfield hertfordshire balfour beatty managers anthony walker and nicholas jeffries and railtrack managers alistair cook sean fugill and keith lea all face individual charges all five men along with four others are also accused of breaches of health and safety laws balfour beatty rail maintenance faces a corporate manslaughter charge it is expected the trial could last as long as a year the accident on 17 october 2000 happened when the london to leeds express came off the tracks at 115 mph when it was derailed by a cracked section of rail the accident on the east coast main line sparked major disruption the overall responsibility for the line was railtracks the company that has now become network rail those who died in the accident were steve arthur 46 from pease pottage west sussex peter monkhouse 50 of headingley leeds leslie gray 43 of tuxford nottingham and robert james alcorn 37 of auckland new zealand
11,howard rejects bnps claim tory leader michael howard has dismissed claims that his immigration policy was moving onto the turf of the british national party bnp bnp leader nick griffin told the independent he expected some bnp voters to switch to the tories over the issue but mr howard said he rejected the idea that the tories and bnp appealed to the same voting instincts asked if he would welcome bnp voters he told the bbc i dont want anybody to vote for these extremist parties he added on bbc radio 4s today programme if you want good community relations in this countrythen you have to have firm fair immigration controls the tories have promised an upper limit on the number of people allowed into britain with the slogan its not racist to impose limits on immigration all parties are stepping up campaiging in the runup to the general election widely expected to be called for 5 may labour has unveiled its own points system for ensuring migrants who want to work in the uk have skills that are required but have rejected immigration quotas the liberal democrats have warned both parties against pandering to prejudice mr griffin told the independent the tories plans were a definite move onto our turf he said i quite freely accept that on a nationwide basis the tories will con enough people to make a significant hole in our vote asked whether he was comfortable with the perception that the conservatives and the bnp appeal to the same voting instincts mr howard told the bbc i reject that entirely he said he found bnps policies abhorrent but he said the uk had to take a different approach to immigration which he said was out of control the government doesnt want to limit it in any way we do theres a legitimate difference between us there which we can discuss in a calm rational and reasonable way he said he again rejected newspaper speculation that his own father entered britain illegally
