Document_ID,Text
12,howard unveils tory asylum plans tory plans to cut immigration to the uk are not racist and will make the asylum system fairer for genuine refugees michael howard has said as his party set out detailed asylum reform plans mr howard said they would help smash people smuggling gangs there would be an annual limit on asylum and all claims would be processed overseas some charities say the plans would put refugees lives at risk if they were turned away once quotas were filled tony blair said labour would set out workable plans for tackling immigration abuse in the next few weeks and attacked the tory plans by cutting the number of frontline immigration staff at our borders they will actually make the problem worse said mr blair liberal democrat chairman matthew taylor said there needed to be a quick fair and firm asylum system but he said it was absolutely disgusting to propose a system which could turn away genuine refugees the conservatives say there is little risk of this happening as demand for asylum will be considered when quotas are set in a speech in london on monday mr howard said its not racist as some people to claim to talk about controlling immigration far from it he said that coming from an immigrant family himself he recognised that firm but fair immigration controls were essential for good community relations withdrawing from the 1951 united nations convention on refugees which obliges countries to accept people being persecuted on the basis of need not numbers introduce laws to allow the immediate removal of asylum seekers whose claims were clearly unfounded because they came from safe countries or had destroyed documents detain asylum seekers without documents so people whose identity was not known were not able to move freely around the uk a worry for national security stop considering asylum applications inside the uk and instead take people from united nations refugee agency camps anyone applying for asylum would be taken to new centres close to their countries of origin the tories also want quotas for those seeking work permits through an australianstyle points system and those wanting to join families in the uk mr howard said nearly 160000 people were settling in the uk every year the size of a city like peterborough the plans would help achieve a substantial reduction in immigration he said although he could not predict a figure he said that only two out of 10 asylum seekers had their claims accepted under the current unfair and inhumane system we need to break the link between arriving in britain and claiming asylum mr howard said by breaking that link we can smash the criminal gangs at the heart of the trade in people smuggling but the un refugees agency is worried the policy sends the wrong message to poorer countries which receive the bulk of refugees and a spokesman for european justice and home affairs commissioner franco frattini said the plans would contravene eu asylum policy which meant the uk could not simply refuse to hear an asylum case refugee council chief executive maeve sherlock called the plans dangerous ill thoughtout and hugely irresponsible lives could be put at risk if refugees were turned away once the quotas were filled she warned commission for racial equality chairman trevor phillips said asylum applications were down 40 and economic migration down about 10 he did not think mr howard intended to centre the debate about race but he warned that some campaigners could use his words to hint the policy was about keeping out people of a different colour or culture mr howard called that suggestion disgraceful
13,tories plan migrant health checks noneuropean union citizens wanting to work in the uk will have to undergo tests for tuberculosis and hiv under plans unveiled by the conservatives a positive test for tb would mean visa applications being turned down while hiv would be dealt with case by case leader michael howard said the checks on new arrivals would help protect public health and the nhs labour said many tests were already done the lib dems warned both parties against pandering to prejudice the proposals which would be brought in if the conservatives won the general election would not apply to people coming to the uk for less than six months unless they intended to work in health or childcare or teaching mr howard said the plans were based on policies already in action in canada new zealand and australia its very important that we should safeguard the good standards of public health that britain enjoys he told bbc radio 4s today programme government figures suggest tb in england has increased by 25 over the past 10 years nearly two thirds of people with tb are born abroad said mr howard i dont think a responsible government can stand aside and do nothing in the face of this problem but mr howard said the plans would not affect asylum applicants claims the proposals include people coming to the uk from outside the eu for between six and 12 months from a high incidence tb country will have to undergo a chest xray people coming to settle in the uk permanently from outside the eu will have to demonstrate they have an acceptable standard of health they will also have to show they are unlikely to be a danger to public health and are unlikely to impose significant costs or demands on the nhs the tests will include a health check chest xrays for tb except for children and pregnant women and tests for hepatitis and hiv for over 16yearolds only the discovery of tb will mean people will be automatically denied a visa other conditions will be dealt with on a case by case basis there is already some screening in place last year 185000 people were tested for tb at heathrow and gatwick airports only about 200 were found to be infected and dr john mooregillon of the british lung foundation said tb is not simply imported we are seeing a rise in many sections of the ukborn population as well the government says the tories are a bit late to the issue immigration minister des browne quoted its fiveyear plan for immigration and asylum as saying we are implementing our existing powers by targeted health screening for tb in highrisk areas at the entry clearance stage those who are diagnosed would then need to seek treatment at home before being allowed to enter the uk meanwhile mark oaten liberal democrat home affairs spokesman said this is another worrying step in the war of words over asylum and immigration between labour and the conservatives michael howard knows perfectly well what bigger game he is playing and history proves it is a very dangerous one lisa power head of policy at aids charity the terrence higgins trust said the policy was prejudicebased rather than evidencebased in fact it would be more likely to drive people with health conditions to falsify tests while others gain entry by simple dint of their eu status she said
14,ministers deny care sums wrong ministers have insisted they are committed to free personal care for the elderly despite research suggesting the cost of the policy was underestimated a report by the fraser of allander institute says the decision to push ahead with the flagship policy was based on flawed research deputy health minister rhona brankin has pledged to study the research snp holyrood leader nicola sturgeon said the public needed reassurance that the care programme was secure the rise in costs stems from a series of mistakes in the research used by the care development group of scottish executive experts who prepared the original costings according to findings published in the quarterly economic commentary of strathclyde universitys fraser of allander institute dubious assumptions about improving health expectancy could drive the cost of the policy up by another 130m by 2022 the report warned it was carried out by husband and wife economist team jim and margaret cuthbert but ms brankin told bbc radio scotland we dont think we got our sums wrong obviously we will examine the findings of this new report along with figures from our own research that we have already commissioned we will look in great detail at any contribution to this because we need to be sure we can provide free personal care and nursing care for our older people into the future and we are absolutely committed to doing that but the scottish national party called on ministers to reassure people that enough funding is in place to support the free personal care policy ms sturgeon said that while she had no reason to doubt the executives support for the policy there were questions which needed to be answered and if necessary sums redone she said serious concerns have been raised and there are questions which need to be answered by the scottish executive we need to know that the money is there not just for this year or next year but into the future so that older people and those who are looking forward to older age can rest assured that their personal care needs will be met
15,straw praises kashmir moves the uk has welcomed the decision by india and pakistan to open a bus link across the ceasefire line dividing the disputed region of kashmir foreign secretary jack straw touring south east asian countries praised the spirit of cooperation in achieving the breakthrough media reports in both countries describe the deal as a major step in the ongoing peace process mr straw said he hoped the agreement would make a difference to kashmiris the bus service was one of several announcements made after a meeting of foreign ministers of both countries in islamabad on wednesday kashmiri politicians on both sides of the line of control which divides the region welcomed the move in a statement mr straw said the bus service between srinagar and muzaffarabad will be able to reunite families that have been divided for decades this will make a real difference to the lives of kashmiris on both sides of the line of control he said i warmly applaud the efforts of both india and pakistan to make this happen this spirit of cooperation will i hope lead to many more measures that will benefit all in the region on thursday mr straw was in india visiting sikhisms holiest shrine the golden temple in amritsar where he tried his hand at making indian bread or roti he is due to take part in talks with the indian government on friday a second bus service linking the pakistani city of lahore with amritsar in india was also announced as well as a rail link between rajasthan state and pakistans sindh province both sides agreed to begin talks on reducing the risk of nuclear accidents and also said they planned to reopen their respective consulates in karachi and mumbai bombay the mountainous region of kashmir has been a flashpoint between the two nuclear powers for more than 50 years
16,turkey deal to help world peace a deal bringing turkey a step closer to eu membership is of fundamental importance to the peace and security of the world tony blair has said the deal struck at the european council last week also proved claims of a clash between muslims and christians were wrong mr blair said it represented the achievement of an historic british objective he added tory leader michael howard said the deal laid to rest any suggestion the eu was antiislamic turkeys involvement with the eu would provide an invaluable bridge between europe and the rest of the world mr howard added but the tory leader argued that the eu constitution was not designed to take in a country as large as turkey mr blair has been a leading advocate of turkish membership despite controversy surrounding the idea he insisted that the turkish leadership had made great advances in improving its human rights records the deal to open formal talks with ankara came despite an eu demand for turkey to recognise cyprus it was agreed the issue can be tackled at a later date but turkish premier recep erdogan had to accept negotiations did not guarantee his country full eu membership the internationally recognised southern part of cyprus is an eu member but turkey which occupies northern cyprus had previously insisted it would not bow to demands to recognise the country calling the issue a red line it could take up to 15 years before turkey is able to join and entry cannot be guaranteed if it joins turkey may have to accept restrictions to limit migration by its citizens the eu has also announced that it will start accession talks with croatia in april 2005 however talks will begin only if the country cooperates fully with the un war crimes tribunal for the former yugoslavia
17,goldsmith i was not leant on the attorney general has again denied being leant on by downing street to make the legal case for invading iraq claims a written answer on the legality of the war was drafted by downing street were wholly unfounded he insisted during stormy lords exchanges lord goldsmith said the answer represented his genuinely held independent view the war was legal the text was released on the eve of a crucial commons vote in which mps backed the invasion of iraq many labour mps have since indicated that the attorney generals answer played a pivotal role in their willingness to back the conflict the government has resisted calls to publish the full advice saying such papers are always kept confidential in the house of lords the attorney general faced a call by former tory lord chancellor lord mackay to now publish the full text of the advice the suggestion was rejected another peer meanwhile lord skidelsky said not to publish the full legal opinion would strengthen the suspicion that the the original text was doctored for public consumption in exactly the same way as the notorious intelligence dossier on weapons of mass destruction last week lord goldsmith said in a statement i was fully involved throughout the drafting process and personally finalised and of course approved the answer he said the answer had been prepared in his office with the involvement of solicitor general harriet harman two of his own officials three foreign office officials a qc christopher greenwood and the then lord chancellor lord irvine of lairg no other minister or official was involved in any way as i have always made clear i set out in the answer my own genuinely held independent view that military action was lawful under the existing un security council resolutions he said the answer did not purport to be a summary of my confidential legal advice to government former foreign secretary robin cook said lord goldsmiths admission that his parliamentary answer was not a summary of his legal opinion suggested parliament may have been misled the attorney general may never have presented his answer as a summary but others certainly did he said what is clear from his statement today is that he does not believe that it was a full accurate summary of his formal opinion tony blair has dismissed questions about the attorney generals advice and said his parliamentary statement had been a fair summary of his opinion thats what he lord goldsmith said and thats what i say he has dealt with this time and time and time again mr blair told his monthly news conference in downing street he refused to answer further questions on the issue on the question of whether such papers have always been kept confidential tory mp michael mates who is a member of the commons intelligence and security committee and was part of the butler inquiry told the bbc that as a general rule is right but its not an absolute rule he said there had been other occasions when advice had been published most recently regarding prince charless marriage plans the government could not pick and choose when to use the convention he said mr mates added this may be one of those special occasions when it would be in the public interest to see the advice which the attorney general gave to the prime minister a book published by philippe sands qc a member of cherie blairs matrix chambers says lord goldsmith warned tony blair on 7 march 2003 that the iraq war could be illegal without a second un resolution sanctioning military action a short statement about lord goldsmiths position presented in a written parliamentary answer on 17 march 2003 just before a crucial commons vote on the military action did not suggest this
18,escaped prisoner report ordered first minister jack mcconnell has ordered a report on the decision to allow a paranoid schizophrenic knife attacker to go on a visit unguarded michael ferguson 36 escaped after being allowed out of the highsecurity carstairs unit the snps nicola sturgeon has demanded to know who was responsible for signing off the leave the scottish executive said ministers would be notified but it would not be common practice to sign approval an executive spokesman said the health department and the state hospital itself would work together on preparing the report ministerial responsibility for carstairs rests with rhona brankin the deputy health minister ms brankin said the first minister has called for a review of what has happened we need to talk to the state hospital and we need to reflect on this ms sturgeon has written to mr mcconnell asking for clarification on the move to allow the prisoner out she said questions must be answered about his escape if the public is to be reassured about safety police are still searching for ferguson who failed to return after a trip to east kilbride on monday the scottish national partys parliamentary leader argued that under the law authorisation of fergusons leave of absence would have come directly from ministers she said the scottish executive seemed to indicate yesterday that the escape of mr ferguson was a matter for carstairs however my understanding is that under the mental health legislation the decision to grant this patient and any restricted patient leave of absence would have required direct and specific authorisation by scottish ministers she added i have written to the first minister today asking for confirmation of that fact i have also asked him to confirm which minister would routinely take decisions of this nature and what information they are based on this is not an attempt to apportion blame but to ensure a better understanding of the decision making process in such important and sensitive cases police said ferguson posed a danger to the public bbc scotland political correspondent glenn campbell said the first minister had ordered an urgent report into the situation he said we understand from the executive that in this case no individual minister signed off the approval for michael ferguson to be released unescorted from carstairs the executive concedes that it is up to scottish ministers they have a legal responsibility for approving this sort of leave but they say routinely it is specialised officials that make that decision and simply inform ministers that they have taken it but at that stage presumably ministers can ask hard questions and can ask for reassurances that the patient is not a serious danger to the public or that any risk has been minimised scottish conservative leader david mcletchie said earlier it was almost beyond belief that this has been allowed to happen the executive spokeswoman said the recommendation for leave was agreed by a psychiatric advisor in conjunction with officials on behalf of ministers she said ministers were told of that notified of it but it would not be common practice for them to sign it off they do have statutory responsibility but the common practice has been that people who work with the patient and have the best knowledge about risk would make that decision ferguson who slashed a man in a doctors surgery in coatbridge in 1994 had been out to see his fianc233e annabella holmes 47 whom he met when she was a patient at the high security complex in south lanarkshire he is described as being 5ft 9ins tall slim with blond hair blue eyes and a fair complexion ferguson was wearing a black jacket grey jeans black jumper and black shoes when he was last seen he has multiple fading tattoos on his left hand and a very faded tear tattoo under his left eye ms holmes is not missing but there have been no sightings of ferguson since monday strathclyde police asked anyone who spots ferguson to contact sergeant keith mcdonald on
19,tories urge change at the top tory delegates are gathering for what is expected to be their last conference before the general election declaring britain needs a change at the top the party goes into its spring forum trying to highlight what it sees as a clear choice between it and labour tory cochairman liam fox has opened proceedings with a speech criticising tony blairs record in government labours rule has been characterised by lost trust and failure to deliver he told the brighton conference he also attacked the governments failure to control immigration and asylum and criticised its record on the nhs telling delegates labour cannot be trusted on education or crime a tory government would sort out the shambles of immigration put patients before statistics and bring discipline to schools he said dr fox also underlined tory promises to cut tax by 4bn bbc political correspondent shaun ley says opinion polls suggest the tories still lag some way behind labour on the issues of health education and the economy conservative leader michael howard who had been due to welcome delegates to the conference on friday will address them in a lunchtime speech his welcome address had to be postponed after he stayed in london to lead the partys opposition to the prevention of terrorism bill in its lengthy progress through parliament the bill was finally passed on friday evening after more than 30 hours of debate mr howard is likely to defend his partys handling of the bill which was only passed after the conservatives accepted prime minister tony blairs promise that mps would be able to review it within a year
20,hitler row over welsh arts cash an artist critical of welsh arts funding being brought under assembly government control has denied comparing the idea with dictatorships in russia and germany shani rhys james is worried that the arts council of wales may be taken over by the welsh assembly government culture minister alun pugh said it would be crass and ignorant to liken a quango review to hitlers germany but ms james emphasised she had actually said artists needed freedom the future of the arts council of wales has been in question since it was announced that most welsh quangos would eventually be abolished it was announced last july that three welsh quangos education and training body elwa the wales tourist board and the welsh development agency would be brought under assembly government control the arts council of wales may be among the next to come under the assembly governments umbrella but ms james who won the 30000 jerwood painting prize in 2003 said arts funding should be separate from government ms james told bbc radio wales its quite dangerous when you involve politicians because its not like the health service and its not like the railways free expression is absolutely vital in a democratic society you need distance you do not need government interference because it could be taken the wrong way but she said reports that she had likened the assembly government to totalitarian regimes were inaccurate she told good morning wales just to put the record straight that business in the paper where it said i likened the government to bolshevik russia or hitlers germany the actual quote i gave was it is vital to a civilised society that we allow artists to express themselves without government control as we know from past european history ie russia and germany in the early 20th century artists will go underground or leave the country or rather than compromise their expression artists need a free voice to express themselves they reflect a truth through their own art forms she said the assembly government was not best placed to run the arts in wales she added it would be a momentous change and devastating to the arts it would set the arts scene back 60 years because i really dont think the government has the expertise if you have the national assembly taking control i fear you are going to be going back to the dragons and leeks and the choirs wales has moved on it is international now it is not set back in how green was my valley responding to ms james criticisms mr pugh said the structure of unelected quangos is under review and we have made it clear that further announcements are due shortly comparing the welsh assembly government to hitlers germany is a crass and ignorant response to a real issue about democratic accountability ms james whose father was welsh was born in melbourne where her parents worked in the theatre she moved to powys nearly 20 years ago where she works from her studio near llangadfan she has won a number of arts prizes including the wales open in 1989 and the mostyn open in 1991
21,whitehall cuts ahead of target thousands of civil service jobs have already been cut or moved out of london as part of a major costcutting drive chancellor gordon brown said 12500 jobs had gone while 7800 were being moved out of the south east he plans to axe 104000 jobs to free up money for education health defence housing and overseas aid unions oppose the plans but mr brown said 2bn savings had already been made and more jobs had been cut than had been expected at this stage a further 200 jobs at the department of the environment food and rural affairs have been earmarked to be cut at the department for work and pensions 30000 jobs are to go 560 will be lost by the end of the month at the department of trade and industry and 400 are to go at the inland revenue and customs in his budget statement the chancellor said the first 12500 civil service jobs had been cut on target about 4300 civil servants will leave london and the south east by the end of march 2005 and there are plans to relocate another 3500 of those 300 department of health posts will go to yorkshire while hundreds at the department of culture will move to birmingham and newcastle mr brown also announced plans to merge 35 agencies into nine described by one civil service union as a bonfire of the quangos mark serwotka the leader of the public and commercial services union said in last years budget we had the day of the long knifes as the chancellor kicked off the crude game of who could cut the most civil service jobs between the government and the tories there was a time when the only worry thousands of hard working civil and public servants had on budget day was whether petrol or taxes would go up nowadays the worry is whether they will have a job by the end of it he said mr brown had made welcome announcements on closing tax loopholes and extending the new deal while cutting the very people who deliver them the treasury also announced plans to reduce the number of public sector workers on sick leave with a new system of checks and tougher measures against those suspected of abusing the system
22,lib dems demand new inquiry a judge should look into the david blunkett controversy as key questions remain unanswered the lib dems say sir alan budds inquiry linked the exhome secretary to the speeding up of a visa claim by his exlovers nanny but he could not say whether mr blunkett had treated the nanny as a special case or had used her as an example of immigration problems lib dem spokesman mark oaten said the number of officials who had forgotten what happened was worrying he told bbc news im extremely concerned that 20 individuals appear to have forgotten what happened or more suspiciously are not prepared to say what happened that must be bad for government it must be bad for public confidence in the system mr oaten said people would be mystified why sir alans inquiry failed to uncover why processing of the visa application was speeded up he said there is a strong case for a judgeled judicial review of this because of course next time it happens it may not be about a nanny and their visa it may be about something even more important than that so we do need to understand what took place and who was involved the tories criticised the lib dem stance saying mr oaten had initially said he accepted mr blunketts word unless further evidence emerged but lib dem officials say mr oaten was speaking when an inquiry was under way and was avoiding rushing to judgement
23,ban on hunting comes into force fox hunting with dogs is now illegal in england and wales after a ban on the activity came into force overnight the law faces a stiff test this weekend with the countryside alliance saying many hunts will be out in force chief police officers spokesman nigel yeo said he expected most people would obey the law by drag hunting or chasing foxes then shooting them he said police would challenge the one of two isolated hunts which are threatening to break the law but simon hart of the countryside alliance has questioned how police will ensure there are no violations the definitions of legal and illegal hunting are so blurred that the police are being asked to make impossible judgements you can hunt a rat but not a mouse a rabbit but not a hare an artificial scent but not a real one he said the attorney general lord goldsmith has so far issued no instructions to police on how they should deal with hunters who violate the law he said he will consult the director of public prosecutions and the police in the near future to decide what measures to take with regards to hunting prosecutions he has rejected a blanket policy of not enforcing the ban until the house of lords has considered its legality john cooper a barrister and chairman of the league against cruel sports said the antihunting lobby expects the authorities to prosecute wherever there is clear evidence of illegal hunting practices he said police had acknowledged their duty to investigate allegations of hunting offences the beaufort hunt had one pack out on thursday and has promised a hunt this weekend under the new law hunters have a number of legal options available to them as well as being able to mount a hunt for an artificial scent it will still be legal for the hunts to flush out foxes as long as they shoot their quarry rather than set the hounds on them we are not going away we will keep these hounds going we will keep this community going and in the end we will come back and hunt when hunting is legal again hunt master captain ian farquhar said but tony banks labour mp for west ham said the issue would soon disappear and that people in a few years time will be wondering what it was all about he said had the government not prevaricated since 1997 in introducing the ban hunting with dogs would have passed into history like other former country pursuits such as otter hunting and badger baiting let the election decide this because the conservatives have made clear that if they get elected into government they will restore hunting he said
